Dataset	Model Type	Pass	Fail	Pass/Fail Ratio
FAB39075	High_Accuracy	7014	5555	1.26264626462646
FAB39075	Fast	6878	5779	1.19017130991521
FAB42395	High_Accuracy	35	31	1.12903225806452
FAB42395	Fast	37	33	1.12121212121212
FAB42260	High_Accuracy	49	66	0.742424242424242
FAB42260	Fast	44	70	0.628571428571429
FAB41174	High_Accuracy	187	125	1.496
FAB41174	Fast	181	136	1.33088235294118
FAB42476	High_Accuracy	4232	2849	1.48543348543349
FAB42476	Fast	4022	3173	1.26757012291207
FAB42706	High_Accuracy	2634	2415	1.09068322981366
FAB42706	Fast	2498	2542	0.982690794649882
FAB43577	High_Accuracy	449	407	1.1031941031941
FAB43577	Fast	435	418	1.04066985645933
FAB46644	High_Accuracy	3591	3066	1.17123287671233
FAB46644	Fast	3450	3206	1.07610729881472
FAB39088 	Fast	109	87	1.25287356321839
FAB39088 	High_Accuracy	117	80	1.4625
FAB39043 	Fast	381	224	1.70089285714286
FAB39043 	High_Accuracy	386	211	1.82938388625592
FAB42316 	Fast	56	47	1.19148936170213
FAB42316 	High_Accuracy	58	44	1.31818181818182
FAB42473 	Fast	105	120	0.875
FAB42473 	High_Accuracy	118	109	1.08256880733945
FAB42810 	Fast	36	53	0.679245283018868
FAB42810 	High_Accuracy	45	47	0.957446808510638
FAB44989  	Fast	12	15	0.8
FAB44989  	High_Accuracy	13	14	0.928571428571429
FAB45332 	Fast	119	103	1.15533980582524
FAB45332 	High_Accuracy	100	122	0.819672131147541
